v2sim.core.V2SimInstance	装配交通、车辆、充电站、插件和统计组件并管理单次 V2Sim 仿真的完整生命周期。
v2sim.core.V2SimInstance.from_case_data	从固定案例配置创建仿真实例，连接交通后端、站点、车辆、插件和输出目录。
v2sim.core.V2SimInstance.start	初始化交通后端、插件和统计写入器，进入可逐步推进的运行状态。
v2sim.core.V2SimInstance.step	推进一个配置时间步并返回当前仿真时间。
v2sim.core.V2SimInstance.step_until	循环推进仿真直至指定时间，用于外部编排层控制时间边界。
v2sim.core.V2SimInstance.stop	停止仿真并执行插件收尾、状态保存及运行资源清理。
v2sim.core.V2SimInstance.simulate	按起止时间运行完整仿真循环并返回交通实例及统计输出对象。
v2sim.core.V2SimInstance.save	将当前交通、车辆、插件等状态保存到指定目录。
v2sim.wrapper.simulate_single	面向命令行或脚本的单案例封装，读取项目配置、创建实例并运行到结束。
v2sim.sim.utils.CaseData	聚合案例目录中的交通、车辆、站点、插件与仿真配置。
v2sim.sim.utils.CaseData.parse	从案例目录解析配置文件并构造 CaseData。
v2sim.sim.utils.TimeConfig	保存仿真开始时间、步长和结束时间，并向交通后端配置传递时间参数。
v2sim.sim.base.TrafficInst	定义交通仿真后端必须提供的车辆、站点、时间推进与生命周期接口。
v2sim.sim.base.TrafficInst.simulation_start	启动交通仿真并准备车辆行程与充电站状态。
v2sim.sim.base.TrafficInst.simulation_step	推进交通状态、车辆事件和充电过程的一个时间步。
v2sim.sim.base.TrafficInst.post_simulation_step	在单步交通推进后处理统计、回调或状态同步。
v2sim.sim.base.TrafficInst.simulation_stop	停止交通后端并释放其运行资源。
v2sim.sim.base.TrafficInst.find_best_station	根据车辆状态与站点条件选择候选充电站；策略语义需由场景适配层再次约束。
v2sim.veh.ev.EV	扩展车辆状态以表达电池、充电、放电、SOC 和 V2G 行为。
v2sim.veh.ev.EV.start_charging	使车辆进入单向充电状态并初始化本次充电过程。
v2sim.veh.ev.EV.charge	按时间步和功率约束更新车辆充电能量与 SOC。
v2sim.veh.ev.EV.end_charging	结束单向充电并清理临时充电状态。
v2sim.veh.ev.EV.start_bidirectional	初始化车辆双向充放电状态。
v2sim.veh.ev.EV.bidirectional_charge	在双向模式下按约束为车辆充电。
v2sim.veh.ev.EV.bidirectional_discharge	在双向模式下向站点或电网侧释放车辆电量。
v2sim.veh.ev.EV.end_bidirectional	结束双向充放电并清理临时 V2G 状态。
v2sim.hub.cs.CS	表示单个充电站的车辆队列、充放电功率、价格和 V2G 能力。
v2sim.hub.cs.CS.add_veh	将车辆加入站点或等待队列并更新站内关联状态。
v2sim.hub.cs.CS.pop_veh	从站点移除车辆并返回被移除对象。
v2sim.hub.cs.CS.update	按当前时间更新站内车辆的充电、放电和功率聚合状态。
v2sim.hub.cs.CS.get_V2G_cap	汇总站内车辆在当前状态下可提供的 V2G 容量。
v2sim.hub.hub.CSHub	聚合快充站和慢充站并提供站点级车辆、功率和 V2G 操作。
v2sim.hub.hub.CSHub.update	统一推进所属充电站状态并汇总站群结果。
v2sim.plugins.base.PluginBase	定义 V2Sim 插件的初始化、步前、步后、收尾和状态保存生命周期。
v2sim.plugins.base.PluginBase.Init	按案例元素和运行参数初始化插件实例。
v2sim.plugins.pool.PluginMan	装配并调度当前案例启用的全部插件。
v2sim.plugins.pool.PluginMan.PreSimulationAll	在仿真开始前依序调用全部在线插件的准备钩子。
v2sim.plugins.pool.PluginMan.PreStepAll	在每个时间步前调用全部在线插件并汇总结果。
v2sim.plugins.pool.PluginMan.PostStepAll	在每个时间步后调用全部在线插件并汇总结果。
v2sim.plugins.pool.PluginMan.PostSimulationAll	在仿真结束后调用全部插件的收尾钩子。
v2sim.plugins.pdn.PluginPDN	把充电站聚合负荷映射到 FPowerKit 配网模型并执行约束与减载计算。
v2sim.plugins.pdn.PluginPDN.Init	读取配网配置、建立求解器并绑定充电站与母线。
v2sim.plugins.pdn.PluginPDN.PreStep	在时间步前求解配网状态并在需要时计算充电负荷削减。
v2sim.plugins.pdn.PluginPDN.PostSimulation	在仿真结束时关闭配网插件输出并保存最终状态。
v2sim.stats.manager.StaWriter	管理统计项及其输出文件，按时间步写入车辆、站点、交通和配网结果。
v2sim.stats.manager.StaWriter.Add	注册一个统计记录项及输出目标。
v2sim.stats.manager.StaWriter.Log	在指定时间调用已注册统计项并写入结果。
v2sim.stats.manager.StaWriter.close	刷新并关闭统计输出资源。
v2sim.stats.manager.StaReader	读取 V2Sim 统计目录并按表或列返回记录结果。
